,detector,text_id,score,fp,pp
215,GPT2Detector,grs_fp_0.2_0.1_res_1,0.999817430973053,0.2,0.1
216,GPT2Detector,grs_fp_0.2_0.1_res_0,0.9994997978210448,0.2,0.1
217,GPT2Detector,grs_fp_0.2_0.1_res_2,0.9996452331542968,0.2,0.1
218,GPT2Detector,grs_fp_0.2_0.1_res_3,0.9997634291648864,0.2,0.1
219,GPT2Detector,grs_fp_0.2_0.1_res_4,0.999818742275238,0.2,0.1
220,GPT2Detector,grs_fp_0.2_0.2_res_0,0.9998241066932678,0.2,0.2
221,GPT2Detector,grs_fp_0.2_0.2_res_1,0.0025107860565185,0.2,0.2
222,GPT2Detector,grs_fp_0.2_0.2_res_2,0.9880614280700684,0.2,0.2
223,GPT2Detector,grs_fp_0.2_0.2_res_4,0.999827206134796,0.2,0.2
224,GPT2Detector,grs_fp_0.2_0.2_res_3,0.9997171759605408,0.2,0.2
225,GPT2Detector,grs_fp_0.2_0.3_res_0,0.9997929930686952,0.2,0.3
226,GPT2Detector,grs_fp_0.2_0.3_res_2,0.99982750415802,0.2,0.3
227,GPT2Detector,grs_fp_0.2_0.3_res_1,0.9923346638679504,0.2,0.3
228,GPT2Detector,grs_fp_0.2_0.3_res_3,0.996653378009796,0.2,0.3
229,GPT2Detector,grs_fp_0.2_0.4_res_2,0.2147681713104248,0.2,0.4
230,GPT2Detector,grs_fp_0.2_0.3_res_4,0.9997804760932922,0.2,0.3
231,GPT2Detector,grs_fp_0.2_0.4_res_3,0.999818742275238,0.2,0.4
232,GPT2Detector,grs_fp_0.2_0.4_res_0,0.9998089671134948,0.2,0.4
233,GPT2Detector,grs_fp_0.2_0.4_res_1,0.9997761845588684,0.2,0.4
234,GPT2Detector,grs_fp_0.2_0.5_res_0,0.999822199344635,0.2,0.5
235,GPT2Detector,grs_fp_0.2_0.4_res_4,0.9998244643211364,0.2,0.4
236,GPT2Detector,grs_fp_0.2_0.5_res_1,0.0803237557411193,0.2,0.5
237,GPT2Detector,grs_fp_0.2_0.5_res_2,0.5380480289459229,0.2,0.5
238,GPT2Detector,grs_fp_0.2_0.5_res_4,0.9998112320899964,0.2,0.5
239,GPT2Detector,grs_fp_0.2_0.5_res_3,0.2312443852424621,0.2,0.5
240,GPT2Detector,grs_fp_0.2_0.6_res_1,0.9998225569725036,0.2,0.6
241,GPT2Detector,grs_fp_0.2_0.6_res_4,0.9661389589309692,0.2,0.6
242,GPT2Detector,grs_fp_0.2_0.6_res_0,0.9998223185539246,0.2,0.6
243,GPT2Detector,grs_fp_0.2_0.6_res_2,0.0113239288330078,0.2,0.6
244,GPT2Detector,grs_fp_0.2_0.6_res_3,0.9978753328323364,0.2,0.6
245,GPT2Detector,grs_fp_0.2_0.7_res_0,0.9995468258857728,0.2,0.7
246,GPT2Detector,grs_fp_0.2_0.7_res_2,0.002986192703247,0.2,0.7
247,GPT2Detector,grs_fp_0.2_0.7_res_1,0.9998273849487304,0.2,0.7
248,GPT2Detector,grs_fp_0.2_0.7_res_3,0.9964039325714112,0.2,0.7
249,GPT2Detector,grs_fp_0.2_0.8_res_0,0.9965498447418212,0.2,0.8
