detector,text_id,score,parameter name,parameter value
GPTZero,temp_1.5_res_1,0.9977558223168834,temp,1.5
GPTZero,temp_1.5_res_2,0.8653488706375682,temp,1.5
GPTZero,temp_1.5_res_4,0.9977558223168834,temp,1.5
GPTZero,temp_1.5_res_3,0.9977558223168834,temp,1.5
GPTZero,topp_0.0_res_0,0.7589185649704708,topp,0.0
GPTZero,topp_0.0_res_1,0.9977558223168834,topp,0.0
GPTZero,topp_0.0_res_2,1.0,topp,0.0
GPTZero,topp_0.0_res_3,0.9977558223168834,topp,0.0
GPTZero,topp_0.0_res_4,0.9977558223168834,topp,0.0
GPTZero,topp_0.1_res_1,0.9977558223168834,topp,0.1
GPTZero,topp_0.1_res_0,0.9977558223168834,topp,0.1
GPTZero,topp_0.1_res_4,0.9977775103937532,topp,0.1
GPTZero,topp_0.1_res_3,0.9977558223168834,topp,0.1
GPTZero,topp_0.2_res_0,0.9977558223168834,topp,0.2
GPTZero,topp_0.2_res_1,0.9973955738343496,topp,0.2
GPTZero,topp_0.1_res_2,0.9820821274401206,topp,0.1
GPTZero,topp_0.2_res_2,1.0,topp,0.2
GPTZero,topp_0.2_res_3,0.9977558223168834,topp,0.2
GPTZero,topp_0.3_res_0,0.9977558223168834,topp,0.3
GPTZero,topp_0.2_res_4,0.9977558223168834,topp,0.2
GPTZero,topp_0.3_res_1,0.9977558223168834,topp,0.3
GPTZero,topp_0.3_res_2,1.0,topp,0.3
GPTZero,topp_0.3_res_4,0.8314732230637943,topp,0.3
GPTZero,topp_0.3_res_3,0.982932157729323,topp,0.3
GPTZero,topp_0.4_res_0,0.9977558223168834,topp,0.4
GPTZero,topp_0.4_res_1,0.9973955738343496,topp,0.4
GPTZero,topp_0.4_res_2,0.982932157729323,topp,0.4
GPTZero,topp_0.4_res_3,0.9825825322814176,topp,0.4
GPTZero,topp_0.4_res_4,0.9973955738343496,topp,0.4
GPTZero,topp_0.5_res_0,0.9977558223168834,topp,0.5
GPTZero,topp_0.5_res_1,0.9956582811901415,topp,0.5
GPTZero,topp_0.5_res_4,0.9973955738343496,topp,0.5
GPTZero,topp_0.5_res_3,0.9977558223168834,topp,0.5
GPTZero,topp_0.5_res_2,0.9977558223168834,topp,0.5
GPTZero,topp_0.6_res_0,0.9977558223168834,topp,0.6
GPTZero,topp_0.6_res_1,0.8381398428317829,topp,0.6
GPTZero,topp_0.6_res_3,0.9977558223168834,topp,0.6
GPTZero,topp_0.6_res_4,0.9973955738343496,topp,0.6
GPTZero,topp_0.6_res_2,0.9826080317224812,topp,0.6
GPTZero,topp_0.7_res_0,0.9977775103937532,topp,0.7
GPTZero,topp_0.7_res_1,0.982932157729323,topp,0.7
GPTZero,topp_0.7_res_3,0.9977558223168834,topp,0.7
GPTZero,topp_0.7_res_2,0.9973955738343496,topp,0.7
GPTZero,topp_0.7_res_4,0.9820821274401206,topp,0.7
GPTZero,topp_0.8_res_0,0.9977558223168834,topp,0.8
GPTZero,topp_0.8_res_1,1.0,topp,0.8
GPTZero,topp_0.8_res_3,0.982932157729323,topp,0.8
GPTZero,topp_0.8_res_4,0.9973955738343496,topp,0.8
GPTZero,topp_0.9_res_0,0.9973955738343496,topp,0.9
GPTZero,topp_0.8_res_2,0.9092670190856504,topp,0.8
GPTZero,topp_0.9_res_3,0.982932157729323,topp,0.9
GPTZero,topp_0.9_res_2,0.9977558223168834,topp,0.9
GPTZero,topp_0.9_res_1,0.8235569534490451,topp,0.9
GPTZero,topp_1.0_res_0,0.9977558223168834,topp,1.0
GPTZero,topp_0.9_res_4,0.9973955738343496,topp,0.9
GPTZero,topp_1.0_res_1,0.9977558223168834,topp,1.0
GPTZero,topp_1.0_res_3,0.9977558223168834,topp,1.0
GPTZero,topp_1.0_res_4,0.9977558223168834,topp,1.0
GPTZero,topp_1.0_res_2,0.9973955738343496,topp,1.0
CopyLeaks,fp_-0.2_res_4,1.0,fp,-0.2
CopyLeaks,fp_-0.0_res_1,1.0,fp,-0.0
CopyLeaks,fp_-0.0_res_0,1.0,fp,-0.0
CopyLeaks,fp_-0.0_res_4,1.0,fp,-0.0
CopyLeaks,fp_-0.0_res_3,1.0,fp,-0.0
CopyLeaks,fp_-0.4_res_0,1.0,fp,-0.4
CopyLeaks,fp_-0.0_res_2,1.0,fp,-0.0
CopyLeaks,fp_-0.2_res_1,1.0,fp,-0.2
CopyLeaks,fp_-0.4_res_4,1.0,fp,-0.4
CopyLeaks,fp_-0.4_res_2,1.0,fp,-0.4
CopyLeaks,fp_-0.2_res_3,1.0,fp,-0.2
CopyLeaks,fp_-0.2_res_0,1.0,fp,-0.2
CopyLeaks,fp_-0.2_res_2,1.0,fp,-0.2
CopyLeaks,fp_-0.4_res_3,1.0,fp,-0.4
CopyLeaks,fp_-0.4_res_1,1.0,fp,-0.4
CopyLeaks,fp_-0.6_res_2,1.0,fp,-0.6
CopyLeaks,fp_-0.6_res_0,1.0,fp,-0.6
CopyLeaks,fp_-0.6_res_4,1.0,fp,-0.6
CopyLeaks,fp_-0.8_res_3,1.0,fp,-0.8
CopyLeaks,fp_-0.8_res_4,1.0,fp,-0.8
CopyLeaks,fp_-0.6_res_1,1.0,fp,-0.6
CopyLeaks,fp_-1.0_res_0,1.0,fp,-1.0
CopyLeaks,fp_-1.0_res_1,1.0,fp,-1.0
CopyLeaks,fp_-0.6_res_3,1.0,fp,-0.6
CopyLeaks,fp_-0.8_res_0,1.0,fp,-0.8
CopyLeaks,fp_-0.8_res_2,1.0,fp,-0.8
CopyLeaks,fp_-0.8_res_1,1.0,fp,-0.8
CopyLeaks,fp_0.2_res_1,1.0,fp,0.2
CopyLeaks,fp_-1.0_res_4,1.0,fp,-1.0
CopyLeaks,fp_-1.0_res_3,1.0,fp,-1.0
CopyLeaks,fp_-1.0_res_2,1.0,fp,-1.0
CopyLeaks,fp_0.2_res_4,1.0,fp,0.2
CopyLeaks,fp_0.2_res_0,1.0,fp,0.2
CopyLeaks,fp_0.2_res_3,1.0,fp,0.2
CopyLeaks,fp_0.4_res_1,1.0,fp,0.4
CopyLeaks,fp_0.2_res_2,1.0,fp,0.2
CopyLeaks,fp_0.4_res_2,1.0,fp,0.4
CopyLeaks,fp_0.6_res_0,1.0,fp,0.6
CopyLeaks,fp_0.4_res_3,1.0,fp,0.4
CopyLeaks,fp_0.6_res_2,1.0,fp,0.6
CopyLeaks,fp_0.6_res_3,1.0,fp,0.6
CopyLeaks,fp_0.4_res_4,1.0,fp,0.4
CopyLeaks,fp_0.6_res_1,1.0,fp,0.6
CopyLeaks,fp_0.6_res_4,1.0,fp,0.6
CopyLeaks,fp_0.8_res_0,1.0,fp,0.8
CopyLeaks,fp_0.8_res_3,1.0,fp,0.8
CopyLeaks,fp_0.8_res_2,1.0,fp,0.8
CopyLeaks,fp_0.4_res_0,1.0,fp,0.4
CopyLeaks,fp_0.8_res_1,1.0,fp,0.8
CopyLeaks,fp_1.0_res_4,1.0,fp,1.0
CopyLeaks,fp_1.2_res_1,1.0,fp,1.2
CopyLeaks,fp_1.0_res_0,0.71882087,fp,1.0
CopyLeaks,fp_1.2_res_2,1.0,fp,1.2
CopyLeaks,fp_1.0_res_1,1.0,fp,1.0
CopyLeaks,fp_0.8_res_4,1.0,fp,0.8
CopyLeaks,fp_1.2_res_3,1.0,fp,1.2
CopyLeaks,fp_1.2_res_0,1.0,fp,1.2
CopyLeaks,fp_1.0_res_2,1.0,fp,1.0
CopyLeaks,fp_1.4_res_0,0.9121813,fp,1.4
CopyLeaks,fp_1.4_res_4,1.0,fp,1.4
CopyLeaks,fp_1.6_res_2,0.6702997,fp,1.6
CopyLeaks,fp_1.0_res_3,1.0,fp,1.0
CopyLeaks,fp_1.4_res_1,1.0,fp,1.4
CopyLeaks,fp_1.4_res_2,1.0,fp,1.4
CopyLeaks,fp_1.4_res_3,1.0,fp,1.4
CopyLeaks,fp_1.6_res_1,1.0,fp,1.6
CopyLeaks,fp_1.2_res_4,0.7351598,fp,1.2
CopyLeaks,fp_1.6_res_4,1.0,fp,1.6
CopyLeaks,fp_1.6_res_0,0.75184274,fp,1.6
CopyLeaks,fp_1.8_res_1,1.0,fp,1.8
CopyLeaks,fp_1.8_res_4,1.0,fp,1.8
CopyLeaks,fp_1.8_res_2,1.0,fp,1.8
CopyLeaks,fp_1.8_res_0,0.59621453,fp,1.8
CopyLeaks,fp_1.6_res_3,1.0,fp,1.6
CopyLeaks,fp_2.0_res_1,1.0,fp,2.0
CopyLeaks,fp_2.0_res_3,1.0,fp,2.0
CopyLeaks,fp_2.0_res_2,0.41214058,fp,2.0
CopyLeaks,pp_-0.0_res_0,1.0,pp,-0.0
CopyLeaks,pp_-0.2_res_0,1.0,pp,-0.2
CopyLeaks,pp_-0.0_res_3,1.0,pp,-0.0
CopyLeaks,pp_-0.2_res_1,1.0,pp,-0.2
CopyLeaks,fp_2.0_res_0,1.0,fp,2.0
CopyLeaks,fp_1.8_res_3,0.66863906,fp,1.8
CopyLeaks,pp_-0.2_res_2,1.0,pp,-0.2
CopyLeaks,fp_2.0_res_4,0.63559324,fp,2.0
CopyLeaks,pp_-0.0_res_1,1.0,pp,-0.0
CopyLeaks,pp_-0.0_res_4,1.0,pp,-0.0
CopyLeaks,pp_-0.2_res_3,1.0,pp,-0.2
CopyLeaks,pp_-0.2_res_4,1.0,pp,-0.2
CopyLeaks,pp_-0.0_res_2,1.0,pp,-0.0
CopyLeaks,pp_-0.4_res_2,1.0,pp,-0.4
CopyLeaks,pp_-0.4_res_3,1.0,pp,-0.4
CopyLeaks,pp_-0.6_res_1,1.0,pp,-0.6
CopyLeaks,pp_-0.6_res_2,1.0,pp,-0.6
CopyLeaks,pp_-0.6_res_3,1.0,pp,-0.6
CopyLeaks,pp_-0.4_res_0,1.0,pp,-0.4
CopyLeaks,pp_-0.4_res_1,1.0,pp,-0.4
