detector,text_id,score,parameter name,parameter value,category
GPT2Detector,fp_1.6_arg_0,0.421859860420227,fp,1.6,arg
GPT2Detector,fp_1.6_arg_3,0.000284731388092,fp,1.6,arg
GPT2Detector,fp_1.6_arg_2,0.2020472288131714,fp,1.6,arg
GPT2Detector,fp_1.6_res_2,0.000360369682312,fp,1.6,res
GPT2Detector,fp_1.6_arg_4,0.0001891255378723,fp,1.6,arg
GPT2Detector,fp_1.6_res_0,0.0002083182334899,fp,1.6,res
GPT2Detector,fp_1.6_res_1,0.0001799464225769,fp,1.6,res
GPT2Detector,fp_1.6_res_3,0.0005211234092712,fp,1.6,res
GPT2Detector,fp_1.6_res_4,0.0175663232803344,fp,1.6,res
GPT2Detector,fp_1.7_arg_0,0.0002021193504333,fp,1.7,arg
GPT2Detector,fp_1.7_arg_2,0.0002974867820739,fp,1.7,arg
GPT2Detector,fp_1.7_arg_1,0.00026136636734,fp,1.7,arg
GPT2Detector,fp_1.7_arg_4,0.000206172466278,fp,1.7,arg
GPT2Detector,fp_1.7_arg_3,0.0003445148468017,fp,1.7,arg
GPT2Detector,fp_1.7_res_0,0.0003011226654052,fp,1.7,res
GPT2Detector,fp_1.7_res_2,0.00027996301651,fp,1.7,res
GPT2Detector,fp_1.7_res_1,0.0004305243492126,fp,1.7,res
GPT2Detector,fp_1.7_res_3,0.0002631545066833,fp,1.7,res
GPT2Detector,fp_1.7_res_4,0.0001776814460754,fp,1.7,res
GPT2Detector,fp_1.8_arg_1,0.0002139210700988,fp,1.8,arg
GPT2Detector,fp_1.8_arg_0,0.0001787543296813,fp,1.8,arg
GPT2Detector,fp_1.8_arg_2,0.0003238916397094,fp,1.8,arg
GPT2Detector,fp_1.8_arg_3,0.9915374517440796,fp,1.8,arg
GPT2Detector,fp_1.8_arg_4,0.0007514357566833,fp,1.8,arg
GPT2Detector,fp_1.8_res_0,0.0003200769424438,fp,1.8,res
GPT2Detector,fp_1.8_res_1,0.0002041459083557,fp,1.8,res
GPT2Detector,fp_1.8_res_2,0.0001901984214782,fp,1.8,res
GPT2Detector,fp_1.8_res_3,0.0004101395606994,fp,1.8,res
GPT2Detector,fp_1.9_arg_0,0.0006396174430847,fp,1.9,arg
GPT2Detector,fp_1.8_res_4,0.0002149939537048,fp,1.8,res
GPT2Detector,fp_1.9_arg_1,0.0134500265121459,fp,1.9,arg
GPT2Detector,fp_1.9_arg_2,0.0002461075782775,fp,1.9,arg
GPT2Detector,fp_1.9_arg_3,0.0126548409461975,fp,1.9,arg
GPT2Detector,fp_1.9_arg_4,0.0002170205116271,fp,1.9,arg
GPT2Detector,fp_1.9_res_0,0.0001785159111022,fp,1.9,res
GPT2Detector,fp_1.9_res_1,0.0001986622810363,fp,1.9,res
GPT2Detector,fp_1.9_res_2,0.0002084374427795,fp,1.9,res
GPT2Detector,fp_1.9_res_4,0.0002899765968322,fp,1.9,res
GPT2Detector,fp_1.9_res_3,0.0002914071083068,fp,1.9,res
GPT2Detector,fp_2.0_arg_0,0.0001722574234008,fp,2.0,arg
GPT2Detector,fp_2.0_arg_1,0.0002337098121643,fp,2.0,arg
GPT2Detector,fp_2.0_arg_3,0.0002174973487854,fp,2.0,arg
GPT2Detector,fp_2.0_arg_2,0.0013555884361267,fp,2.0,arg
GPT2Detector,fp_2.0_arg_4,0.0002256035804748,fp,2.0,arg
GPT2Detector,fp_2.0_res_0,0.0003966689109802,fp,2.0,res
GPT2Detector,fp_2.0_res_3,0.0002215504646301,fp,2.0,res
GPT2Detector,fp_2.0_res_1,0.0001984238624572,fp,2.0,res
GPT2Detector,fp_2.0_res_2,0.000275433063507,fp,2.0,res
GPT2Detector,fp_2.0_res_4,0.0024481415748596,fp,2.0,res
GPT2Detector,pp_0.0_arg_1,0.9995648264884948,pp,0.0,arg
GPT2Detector,pp_0.0_arg_0,0.9998233914375304,pp,0.0,arg
GPT2Detector,pp_0.0_arg_2,0.9998143315315248,pp,0.0,arg
GPT2Detector,pp_0.0_arg_3,0.9997425675392152,pp,0.0,arg
GPT2Detector,pp_0.0_res_0,0.999804437160492,pp,0.0,res
GPT2Detector,pp_0.0_arg_4,0.9997755885124208,pp,0.0,arg
GPT2Detector,pp_0.0_res_1,0.969713568687439,pp,0.0,res
GPT2Detector,pp_0.0_res_2,0.9701045155525208,pp,0.0,res
GPT2Detector,pp_0.0_res_3,0.9998013377189636,pp,0.0,res
GPT2Detector,pp_0.1_arg_2,0.9998255372047424,pp,0.1,arg
GPT2Detector,pp_0.0_res_4,0.9997941851615906,pp,0.0,res
